,C-14,1,ea.,,OH Wing Chiller Bypass Conveyor          Belt 1:,,wings,,,,"1/4"" SS","10""","66"" / 102""","3""",45,"12'-9"" (h)",33 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"14'-0""",,,,,,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Belt 2:,,wings,,,,"1/4"" SS","10""","66"" / 102""","3""",45,"11'-9"" (h)",31 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,,5.2,5.2,EZ Clean,SHARES COMMON DRIVE w/ BELT 1,,,,,,,,
,,,,,,,,,,,,,,,,"13'-0""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-15,1,ea.,,Wing Grading Conveyor,,wings,,,,"1/4"" SS","24""","42""","2""",0,"10'-6""",26 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-16,1,ea.,,Wing Bagger Incline Conveyor                Belt 1:,,wings,,,,"1/4"" SS","12""","24"" / 126""","6""",70,"9'-1"" (h)",35 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[15'-""0]",,,,,scoop,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Belt 2:,,wings,,,,"1/4"" SS","12""","24"" / 126""","6""",70,"9'-1"" (h)",35 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,,5.2,5.2,EZ Clean,SHARES COMMON DRIVE w/ BELT 1,,,,,,,,
,,,,,,,,,,,,,,,,"[15'-""0]",,,,,scoop,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-17,1,ea.,,Tender Incline Conveyor,,tenders,,,,"1/4"" SS","12""","58"" / 132""","4""",70,"13'-0"" (h)",40 ft,S800 NT,Acetal,White,"3""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[17'-6""]",,Nub Top,,,Dbl-no cling,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-18,1,ea.,,Tender Incline Conveyor,,tenders,,,,"1/4"" SS","12""","58"" / 132""","4""",70,"13'-0"" (h)",40 ft,S800 NT,Acetal,White,"3""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[17'-6""]",,Nub Top,,,Dbl-no cling,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-19,1,ea.,,OH Tender Transfer Conveyor,,tenders,,,,"1/4"" SS","12""","108""","4""",0,"23'-0""",51 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-19A,1,ea.,,Tender Grading Conveyor,,tenders,,,,"1/4"" SS","18""","42""","2""",0,"6'-6""",18 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-20,1,ea.,,Post Chill Tender Incline Conveyor,,tenders,,,,"1/4"" SS","12""","24"" / 126""","4""",65,"9'-0"" (h)",34 ft,S800 NT,Acetal,White,"3""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[14'-6""]",,,,,Dbl-no cling,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-21,1,ea.,,OH Tender Bagger Conveyor,,tenders,,,,"1/4"" SS","16""","102""","4""",0,"9'-0""",23 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,Pneumatic,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,Diverter,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-22,1,ea.,,Full Box Accumulating Conveyor,,boxes,,,,"1/4"" SS","18""","30""","1""",0,"34'-6""",74 ft,S800 RT,Acetal,Grey,N/A,N/A,N/A,60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[38.872],K343,2HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-23,1,ea.,,Full Box Radius Conveyor,,boxes,,,,"1/4"" SS","16""","30""","1""",0,"27'-6""",100 ft,S3000 MT,Acetal,Grey,N/A,N/A,N/A,60,Y,5.2,5.2,UHMW-PE,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,Mesh Top,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-24,1,ea.,,Full Box Incline Conveyor,,boxes,,,,"1/4"" SS","18""","29"" / 45""","2""",15,"5'-0"" (h)",15 ft,S1400 SQFT,PP,Grey,N/A,N/A,N/A,60,Y,"5,1""","5.1""",GFN,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"5'-2""",,square friction,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-25,1,ea.,,Boneless Dark Meat Incline Conveyor,,thigh meat,,,,"1/4"" SS","12""","58"" / 150""","5""",50,"21'-4"" (h)",55 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"24'-8""",,,,,streamline,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-26,1,ea.,,Boneless Dark Meat Incline Conveyor,,thigh meat,,,,"1/4"" SS","12""","58"" / 150""","5""",50,"21'-4"" (h)",55 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"24'-8""",,,,,streamline,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-27,1,ea.,,OH Boneless Dark Meat Transfer Conveyor,,thigh meat,,,,"1/4"" SS","10""","126""",4”,0,"19'-3""",44 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,belt 2:,,thigh meat,,,,"1/4"" SS","10""","126""","4""",0,"18'-6""",42 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,5.2,5.2,EZ Clean,SHARES COMMON DRIVE w/ BELT 1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-28,1,ea.,,Boneless Dark Meat Incline Conveyor  belt 1,,thigh meat,,,,"1/4"" SS","8""","102"" / 132""","4""",30,"62'-9"" (h)",131 FT,S800 OHFT,Acetal,White,"3""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"62'-11"" ",,,,,streamline,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,belt 2:,,thigh meat,,,,"1/4"" SS","8""","102"" / 132""","4""",30,"61'-9"" (h)",129 FT,S800 OHFT,Acetal,White,"3""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,SHARES COMMON DRIVE w/ BELT 1,,,,,,,,
,,,,,,,,,,,,,,,,"61'-11""",,,,,streamline,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-29,1,ea.,,Boneless Dark Meat Incline Conveyor,,thigh meat,,,,"1/4"" SS","18""","24"" / 96""","5""",70,"5'-8"" (h)",26 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"10'-4""",,,,,scoop,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-30,1,ea.,,Boneless Dark Meat Grading Conveyor,,thigh meat,,,,"1/4"" SS","18""","42""","2""",0,"8'-9""",23 ft,S800 PFFT,Acetal,White,N/A,N/A,N/A,60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,perforated ,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
